name,position
Andrej Plenković,Predsjednik Vlade Republike Hrvatske
Tomo Medved,Potpredsjednik Vlade
Tomo Medved,ministar hrvatskih branitelja
Davor Božinović,Potpredsjednik Vlade
Davor Božinović,ministar unutarnjih poslova
Oleg Butković,Potpredsjednik Vlade
Oleg Butković,"ministar mora, prometa i infrastrukture"
Anja Šimpraga,Potpredsjednica Vlade
Marko Primorac,Ministar financija
Gordan Grlić Radman,Ministar vanjskih i europskih poslova
Nataša Tramišak,Ministrica regionalnoga razvoja i fondova Europske unije
Nikolina Brnjac,Ministrica turizma i sporta
Radovan Fuchs,Ministar znanosti i obrazovanja
Davor Filipović,Ministar gospodarstva i održivog razvoja
Vili Beroš,Ministar zdravstva
Marija Vučković,Ministrica poljoprivrede
Marin Piletić,"Ministar rada, mirovinskoga sustava, obitelji i socijalne politike"
Mario Banožić,Ministar obrane
Ivan Malenica,Ministar pravosuđa i uprave
Nina Obuljen Koržinek,Ministrica kulture i medija
Ivan Paladina,"Ministar prostornoga uređenja, graditeljstva i državne imovine"
